,name,pos,team,url
81,Stefon Diggs,WR,MIN,https://www.fantasypros.com/nfl/games/stefon-diggs.php
82,Robbie Gould,K,SF,https://www.fantasypros.com/nfl/games/robbie-gould.php
83,Ryan Succop,K,TEN,https://www.fantasypros.com/nfl/games/ryan-succop.php
84,Deshaun Watson,QB,HOU,https://www.fantasypros.com/nfl/games/deshaun-watson.php
85,Odell Beckham Jr.,WR,NYG,https://www.fantasypros.com/nfl/games/odell-beckham.php
86,Cody Parkey,K,CHI,https://www.fantasypros.com/nfl/games/cody-parkey.php
88,Randy Bullock,K,CIN,https://www.fantasypros.com/nfl/games/randy-bullock.php
89,Marshawn Lynch,RB,OAK,https://www.fantasypros.com/nfl/games/marshawn-lynch.php
90,Lamar Miller,RB,HOU,https://www.fantasypros.com/nfl/games/lamar-miller.php
91,Willie Snead,WR,BAL,https://www.fantasypros.com/nfl/games/willie-snead.php
92,Jordan Reed,TE,WAS,https://www.fantasypros.com/nfl/games/jordan-reed.php
93,Jordan Howard,RB,CHI,https://www.fantasypros.com/nfl/games/jordan-howard.php
94,Brandon Marshall,WR,NO,https://www.fantasypros.com/nfl/games/brandon-marshall.php
95,T.Y. Hilton,WR,IND,https://www.fantasypros.com/nfl/games/ty-hilton.php
96,Jarvis Landry,WR,CLE,https://www.fantasypros.com/nfl/games/jarvis-landry.php
97,Tevin Coleman,RB,ATL,https://www.fantasypros.com/nfl/games/tevin-coleman.php
98,John Brown,WR,BAL,https://www.fantasypros.com/nfl/games/john-brown.php
99,Kenneth Dixon,RB,BAL,https://www.fantasypros.com/nfl/games/kenneth-dixon.php
100,Adam Thielen,WR,MIN,https://www.fantasypros.com/nfl/games/adam-thielen.php
101,Chris Godwin,WR,TB,https://www.fantasypros.com/nfl/games/chris-godwin.php
103,Aldrick Rosas,K,NYG,https://www.fantasypros.com/nfl/games/aldrick-rosas.php
104,Michael Crabtree,WR,BAL,https://www.fantasypros.com/nfl/games/michael-crabtree.php
105,Bruce Ellington,WR,DET,https://www.fantasypros.com/nfl/games/bruce-ellington.php
106,Anthony Sherman,RB,KC,https://www.fantasypros.com/nfl/games/anthony-sherman.php
107,Alfred Blue,RB,HOU,https://www.fantasypros.com/nfl/games/alfred-blue.php
108,Brandin Cooks,WR,LAR,https://www.fantasypros.com/nfl/games/brandin-cooks.php
109,Javorius Allen,RB,BAL,https://www.fantasypros.com/nfl/games/javorius-allen.php
110,Robby Anderson,WR,NYJ,https://www.fantasypros.com/nfl/games/robby-anderson.php
111,Jimmy Garoppolo,QB,SF,https://www.fantasypros.com/nfl/games/jimmy-garoppolo.php
112,Harrison Butker,K,KC,https://www.fantasypros.com/nfl/games/harrison-butker.php
