name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
John Brown,WR,BUF,0.0,0.0,1.0,28.0,0.0,26.0,0.0,0.0,0.0,7.7200000000000015,9.22,10.72
Deshaun Watson,QB,HOU,0.0,0.0,3.0,234.0,1.0,6.0,4.0,0.0,-1.0,27.86,28.36,28.86
DeAndre Hopkins,WR,HOU,0.0,0.0,1.0,6.0,0.0,64.0,0.0,0.0,0.0,10.64,13.14,15.64
Ryan Tannehill,QB,TEN,1.0,0.0,2.0,182.0,0.0,0.0,4.0,0.0,5.0,13.78,13.78,13.78
Aaron Rodgers,QB,GNB,0.0,0.0,4.0,243.0,0.0,0.0,3.0,0.0,24.0,28.12,28.12,28.12
Josh Allen,QB,BUF,0.0,0.0,1.0,231.0,0.0,0.0,10.0,1.0,43.0,23.540000000000006,23.540000000000006,23.540000000000006
Jared Goff,QB,LAR,0.0,0.0,2.0,424.0,0.0,0.0,0.0,0.0,0.0,24.96,24.96,24.96
Matt Haack,ERROR CHECK ME,MIA,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.04,4.04,4.04
Mitchell Trubisky,QB,CHI,0.0,1.0,3.0,338.0,0.0,0.0,4.0,0.0,4.0,23.92,23.92,23.92
Ryan Fitzpatrick,QB,MIA,0.0,1.0,3.0,365.0,0.0,0.0,3.0,0.0,2.0,24.8,24.8,24.8
Jimmy Garoppolo,QB,SFO,1.0,0.0,1.0,165.0,0.0,0.0,3.0,0.0,5.0,9.1,9.1,9.1
Philip Rivers,QB,LAC,0.0,1.0,2.0,265.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,16.6
Russell Wilson,QB,SEA,0.0,1.0,2.0,240.0,0.0,0.0,4.0,0.0,13.0,16.900000000000002,16.900000000000002,16.900000000000002
Devlin Hodges,QB,PIT,0.0,1.0,1.0,212.0,0.0,0.0,5.0,0.0,2.0,10.68,10.68,10.68
Carson Wentz,QB,PHI,0.0,1.0,3.0,310.0,0.0,0.0,0.0,0.0,0.0,22.4,22.4,22.4
Dak Prescott,QB,DAL,1.0,1.0,2.0,355.0,0.0,0.0,4.0,0.0,25.0,20.7,20.7,20.7
Jameis Winston,QB,TAM,1.0,0.0,0.0,268.0,0.0,0.0,6.0,0.0,20.0,10.72,10.72,10.72
Drew Brees,QB,NOR,0.0,0.0,1.0,184.0,0.0,0.0,1.0,0.0,-1.0,11.26,11.26,11.26
Andy Dalton,QB,CIN,0.0,0.0,1.0,243.0,0.0,0.0,5.0,0.0,-4.0,13.32,13.32,13.32
David Blough,QB,DET,0.0,1.0,2.0,280.0,0.0,0.0,1.0,0.0,1.0,17.3,17.3,17.3
Kirk Cousins,QB,MIN,0.0,1.0,2.0,276.0,0.0,0.0,0.0,0.0,0.0,17.04,17.04,17.04
Lamar Jackson,QB,BAL,1.0,0.0,1.0,105.0,0.0,0.0,16.0,1.0,101.0,22.3,22.3,22.3
Tom Brady,QB,NWE,0.0,1.0,3.0,326.0,0.0,0.0,1.0,0.0,13.0,24.34,24.34,24.34
Drew Lock,QB,DEN,0.0,1.0,2.0,134.0,0.0,0.0,3.0,0.0,15.0,12.86,12.86,12.86
Matt Ryan,QB,ATL,1.0,2.0,2.0,312.0,0.0,0.0,3.0,0.0,21.0,16.580000000000002,16.580000000000002,16.580000000000002
Patrick Mahomes,QB,KAN,0.0,0.0,1.0,175.0,0.0,0.0,3.0,1.0,25.0,19.5,19.5,19.5
Kyle Allen,QB,CAR,1.0,1.0,2.0,278.0,0.0,0.0,4.0,1.0,22.0,23.32,23.32,23.32
Jacoby Brissett,QB,IND,0.0,2.0,1.0,319.0,0.0,0.0,1.0,0.0,-1.0,12.659999999999995,12.659999999999995,12.659999999999995
Baker Mayfield,QB,CLE,1.0,1.0,1.0,196.0,0.0,0.0,1.0,0.0,2.0,8.04,8.04,8.04
Derek Carr,QB,OAK,0.0,2.0,1.0,222.0,0.0,0.0,3.0,0.0,7.0,9.58,9.58,9.58
Sam Darnold,QB,NYJ,0.0,0.0,0.0,239.0,0.0,0.0,2.0,0.0,9.0,10.46,10.46,10.46
Gardner Minshew,QB,JAX,0.0,1.0,1.0,147.0,0.0,0.0,2.0,0.0,8.0,8.68,8.68,8.68
Dwayne Haskins,QB,WAS,0.0,0.0,0.0,147.0,0.0,0.0,4.0,0.0,6.0,6.48,6.48,6.48
Kyler Murray,QB,ARI,0.0,1.0,0.0,163.0,0.0,0.0,4.0,1.0,28.0,13.32,13.32,13.32
Blake Bortles,QB,LAR,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,-10.0,-0.88,-0.88,-0.88
Daniel Jones,QB,NYG,0.0,3.0,1.0,240.0,0.0,0.0,5.0,0.0,6.0,8.2,8.2,8.2
Nick Foles,QB,JAX,2.0,1.0,0.0,93.0,0.0,0.0,1.0,0.0,3.0,-1.9799999999999995,-1.9799999999999995,-1.9799999999999995
Garrett Gilbert,QB,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,QB,NOR,0.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,33.0,16.5,17.5,18.5
Derrick Henry,RB,TEN,1.0,0.0,0.0,0.0,0.0,17.0,26.0,1.0,149.0,20.6,22.1,23.6
Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,8.0,19.0,1.0,146.0,21.4,22.4,23.4
Derrius Guice,RB,WAS,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,129.0,25.7,26.7,27.7
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,104.0,10.4,10.4,10.4
Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,7.0,23.0,1.0,102.0,16.9,17.4,17.9
Melvin Gordon,RB,LAC,0.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,99.0,11.0,12.0,13.0
Adrian Peterson,RB,WAS,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,99.0,15.9,15.9,15.9
Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,20.0,19.0,1.0,95.0,17.5,18.0,18.5
Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,32.0,19.0,0.0,83.0,11.5,13.0,14.5
Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,1.0,22.0,17.0,0.0,83.0,16.5,19.0,21.5
Bo Scarbrough,RB,DET,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,83.0,8.3,8.3,8.3
James White,RB,NWE,0.0,0.0,0.0,0.0,2.0,98.0,14.0,0.0,79.0,29.7,33.7,37.7
David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,1.0,12.0,16.0,0.0,75.0,14.7,15.7,16.7
Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,1.0,33.0,15.0,1.0,74.0,22.7,24.7,26.7
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,66.0,12.0,0.0,71.0,13.7,17.2,20.7
Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,1.0,38.0,14.0,0.0,63.0,16.1,17.6,19.1
Benny Snell,RB,PIT,0.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,63.0,12.7,13.2,13.7
Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,61.0,8.399999999999999,10.4,12.4
Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,59.0,6.2,7.2,8.2
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,58.0,7.9,8.4,8.9
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,58.0,6.2,7.7,9.2
Devonta Freeman,RB,ATL,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,51.0,6.4,8.399999999999999,10.4
Jordan Wilkins,RB,IND,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,47.0,5.6000000000000005,6.6000000000000005,7.6
Kareem Hunt,RB,CLE,0.0,0.0,0.0,0.0,1.0,19.0,7.0,0.0,46.0,12.5,15.0,17.5
Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,45.0,4.5,4.5,4.5
