name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Kyle Allen,QB,CAR,1.0,0.0,4.0,261.0,0.0,0.0,3.0,0.0,-1.0,24.34,24.34,24.34
Deshaun Watson,QB,HOU,1.0,0.0,3.0,351.0,0.0,0.0,7.0,0.0,18.0,25.84,25.84,25.84
Patrick Mahomes,QB,KAN,0.0,0.0,3.0,374.0,0.0,0.0,4.0,0.0,9.0,27.86,27.86,27.86
Matt Ryan,QB,ATL,0.0,1.0,3.0,304.0,0.0,0.0,2.0,0.0,3.0,22.46,22.46,22.46
Ryan Fitzpatrick,QB,MIA,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.16,1.16,1.16
Jacoby Brissett,QB,IND,0.0,0.0,2.0,310.0,0.0,0.0,3.0,0.0,4.0,20.8,20.8,20.8
Mitchell Trubisky,QB,CHI,0.0,1.0,3.0,231.0,0.0,0.0,1.0,0.0,2.0,19.44,19.44,19.44
Teddy Bridgewater,QB,NOR,0.0,0.0,2.0,177.0,0.0,0.0,3.0,0.0,12.0,16.28,16.28,16.28
Daniel Jones,QB,NYG,2.0,0.0,2.0,336.0,0.0,0.0,4.0,2.0,28.0,32.239999999999995,32.239999999999995,32.239999999999995
Jameis Winston,QB,TAM,0.0,1.0,3.0,380.0,0.0,0.0,4.0,0.0,3.0,25.5,25.5,25.5
Kirk Cousins,QB,MIN,0.0,0.0,1.0,174.0,0.0,0.0,4.0,0.0,16.0,12.56,12.56,12.56
Gardner Minshew,QB,JAX,0.0,0.0,2.0,204.0,0.0,0.0,4.0,0.0,18.0,17.96,17.96,17.96
Tom Brady,QB,NWE,0.0,0.0,2.0,306.0,0.0,0.0,2.0,0.0,-1.0,20.14,20.14,20.14
Derek Carr,QB,OAK,0.0,1.0,2.0,242.0,0.0,0.0,1.0,0.0,0.0,15.68,15.68,15.68
Russell Wilson,QB,SEA,0.0,0.0,2.0,406.0,0.0,0.0,7.0,2.0,51.0,41.34,41.34,41.34
Philip Rivers,QB,LAC,1.0,0.0,2.0,318.0,0.0,0.0,2.0,0.0,9.0,19.62,19.62,19.62
Aaron Rodgers,QB,GNB,0.0,0.0,1.0,235.0,0.0,0.0,1.0,0.0,-1.0,13.3,13.3,13.3
Carson Wentz,QB,PHI,0.0,0.0,2.0,259.0,0.0,0.0,4.0,0.0,33.0,21.66,21.66,21.66
Dak Prescott,QB,DAL,0.0,1.0,2.0,246.0,0.0,0.0,2.0,1.0,7.0,22.54,22.54,22.54
Matthew Stafford,QB,DET,0.0,0.0,1.0,201.0,0.0,0.0,3.0,0.0,1.0,12.14,12.14,12.14
Jimmy Garoppolo,QB,SFO,1.0,2.0,1.0,277.0,0.0,0.0,6.0,0.0,3.0,9.38,9.38,9.38
Marcus Mariota,QB,TEN,0.0,0.0,0.0,304.0,0.0,0.0,6.0,0.0,34.0,15.56,15.56,15.56
Mason Rudolph,QB,PIT,0.0,1.0,2.0,174.0,0.0,0.0,4.0,0.0,15.0,14.46,14.46,14.46
Josh Allen,QB,BUF,0.0,1.0,1.0,243.0,0.0,0.0,9.0,0.0,46.0,16.32,16.32,16.32
Jared Goff,QB,LAR,1.0,2.0,2.0,268.0,0.0,0.0,4.0,0.0,14.0,14.119999999999996,14.119999999999996,14.119999999999996
Case Keenum,QB,WAS,2.0,3.0,2.0,332.0,0.0,0.0,2.0,0.0,3.0,11.580000000000002,11.580000000000002,11.580000000000002
Joe Flacco,QB,DEN,1.0,1.0,0.0,213.0,0.0,0.0,2.0,0.0,5.0,5.02,5.02,5.02
Kyler Murray,QB,ARI,0.0,2.0,2.0,173.0,0.0,0.0,8.0,0.0,69.0,17.82,17.82,17.82
Lamar Jackson,QB,BAL,0.0,0.0,0.0,267.0,0.0,0.0,8.0,1.0,46.0,21.28,21.28,21.28
Baker Mayfield,QB,CLE,0.0,1.0,1.0,195.0,0.0,0.0,1.0,0.0,-1.0,9.7,9.7,9.7
Andy Dalton,QB,CIN,0.0,2.0,1.0,250.0,0.0,0.0,1.0,1.0,1.0,16.1,16.1,16.1
Josh Rosen,QB,MIA,0.0,0.0,0.0,200.0,0.0,0.0,3.0,0.0,13.0,9.3,9.3,9.3
Luke Falk,QB,NYJ,0.0,1.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,1.92
Jarrett Stidham,QB,NWE,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,-1.44,-1.44,-1.44
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,35.0,24.0,1.0,153.0,24.8,26.3,27.8
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,125.0,13.9,14.9,15.9
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,33.0,16.0,1.0,110.0,20.3,22.3,24.3
Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,32.0,16.0,3.0,103.0,31.5,33.5,35.5
Tony Pollard,RB,DAL,0.0,0.0,0.0,0.0,0.0,25.0,13.0,1.0,103.0,18.8,20.3,21.8
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,96.0,13.1,15.1,17.1
Devonta Freeman,RB,ATL,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,88.0,9.5,11.0,12.5
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,49.0,21.0,2.0,81.0,25.0,27.0,29.0
Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,41.0,14.0,0.0,80.0,12.1,12.6,13.1
Raheem Mostert,RB,SFO,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,79.0,5.9,5.9,5.9
Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,76.0,14.9,15.9,16.9
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,14.0,16.0,1.0,74.0,14.8,15.8,16.8
Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,1.0,92.0,16.0,1.0,69.0,28.1,32.599999999999994,37.1
Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,68.0,8.8,9.8,10.8
David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,67.0,8.1,9.6,11.1
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,26.0,15.0,0.0,66.0,9.2,12.2,15.2
Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,63.0,7.3,9.3,11.3
Darrel Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,47.0,9.0,0.0,62.0,10.9,13.4,15.9
Joe Mixon,RB,CIN,0.0,0.0,0.0,0.0,1.0,34.0,15.0,0.0,60.0,15.4,16.4,17.4
Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,59.0,8.600000000000001,9.6,10.6
Alexander Mattison,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,58.0,11.8,11.8,11.8
