name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Julian Edelman,WR,NWE,0.0,0.0,1.0,15.0,0.0,53.0,0.0,0.0,0.0,9.9,12.4,14.9
Lamar Jackson,QB,BAL,0.0,0.0,4.0,222.0,0.0,0.0,10.0,0.0,79.0,32.78,32.78,32.78
Kirk Cousins,QB,MIN,1.0,0.0,3.0,319.0,0.0,0.0,2.0,0.0,1.0,22.86,22.86,22.86
Drew Brees,QB,NOR,0.0,0.0,3.0,228.0,0.0,0.0,3.0,0.0,0.0,21.12,21.12,21.12
Sam Darnold,QB,NYJ,0.0,1.0,4.0,293.0,0.0,0.0,2.0,0.0,-3.0,25.42,25.42,25.42
Courtland Sutton,WR,DEN,0.0,0.0,0.0,38.0,0.0,113.0,2.0,0.0,10.0,13.82,16.32,18.82
Josh Allen,QB,BUF,0.0,0.0,3.0,256.0,0.0,0.0,7.0,1.0,56.0,33.84,33.84,33.84
Dak Prescott,QB,DAL,0.0,0.0,3.0,444.0,0.0,0.0,6.0,0.0,18.0,31.56,31.56,31.56
Jimmy Garoppolo,QB,SFO,0.0,2.0,4.0,424.0,0.0,0.0,1.0,0.0,7.0,29.660000000000004,29.660000000000004,29.660000000000004
Matt Ryan,QB,ATL,0.0,0.0,1.0,311.0,0.0,0.0,2.0,0.0,0.0,16.439999999999998,16.439999999999998,16.439999999999998
Jeff Driskel,QB,DET,0.0,0.0,2.0,209.0,0.0,0.0,8.0,1.0,51.0,27.46,27.46,27.46
Derek Carr,QB,OAK,0.0,1.0,1.0,292.0,0.0,0.0,5.0,1.0,1.0,19.78,19.78,19.78
Kyler Murray,QB,ARI,0.0,0.0,2.0,150.0,0.0,0.0,8.0,1.0,67.0,26.7,26.7,26.7
Robert Griffin,QB,BAL,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,-1.0,0.5,0.5,0.5
Baker Mayfield,QB,CLE,0.0,0.0,2.0,193.0,0.0,0.0,1.0,1.0,1.0,21.82,21.82,21.82
Nick Foles,QB,JAX,0.0,1.0,2.0,296.0,0.0,0.0,0.0,0.0,0.0,17.84,17.84,17.84
Ryan Fitzpatrick,QB,MIA,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,12.92,12.92,12.92
Dwayne Haskins,QB,WAS,0.0,1.0,2.0,214.0,0.0,0.0,4.0,0.0,5.0,15.060000000000002,15.060000000000002,15.060000000000002
Kenjon Barner,RB,ATL,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,15.0,1.62,1.62,1.62
Sam Koch,ERROR CHECK ME,BAL,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.08,-0.08
Jacoby Brissett,QB,IND,0.0,1.0,1.0,148.0,0.0,0.0,2.0,1.0,12.0,15.12,15.12,15.12
Carson Wentz,QB,PHI,1.0,0.0,1.0,214.0,0.0,0.0,3.0,0.0,17.0,12.26,12.26,12.26
Patrick Mahomes,QB,KAN,0.0,1.0,1.0,182.0,0.0,0.0,5.0,0.0,59.0,15.18,15.18,15.18
Jared Goff,QB,LAR,0.0,1.0,0.0,173.0,0.0,0.0,3.0,0.0,3.0,5.22,5.22,5.22
Tom Brady,QB,NWE,0.0,0.0,0.0,216.0,0.0,0.0,1.0,0.0,-1.0,8.540000000000001,8.540000000000001,8.540000000000001
Mitchell Trubisky,QB,CHI,0.0,1.0,1.0,190.0,0.0,0.0,1.0,0.0,4.0,10.0,10.0,10.0
Deshaun Watson,QB,HOU,1.0,1.0,0.0,169.0,0.0,0.0,3.0,0.0,12.0,3.96,3.96,3.96
Brandon Allen,QB,DEN,0.0,1.0,1.0,240.0,0.0,0.0,3.0,0.0,18.0,13.4,13.4,13.4
Jameis Winston,QB,TAM,0.0,4.0,2.0,313.0,0.0,0.0,2.0,0.0,23.0,14.82,14.82,14.82
Philip Rivers,QB,LAC,0.0,4.0,1.0,353.0,0.0,0.0,0.0,0.0,0.0,10.119999999999996,10.119999999999996,10.119999999999996
Kyle Allen,QB,CAR,0.0,4.0,0.0,325.0,0.0,0.0,1.0,0.0,7.0,5.699999999999998,5.699999999999998,5.699999999999998
Chase Daniel,QB,CHI,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36
A.J. McCarron,QB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilal Powell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,42.0,4.7,5.2,5.7
Ryan Finley,QB,CIN,1.0,1.0,0.0,115.0,0.0,0.0,3.0,0.0,47.0,5.300000000000002,5.300000000000002,5.300000000000002
Mason Rudolph,QB,PIT,0.0,4.0,1.0,221.0,0.0,0.0,2.0,0.0,15.0,6.34,6.34,6.34
Jonathan Williams,RB,IND,0.0,0.0,0.0,0.0,0.0,31.0,13.0,0.0,116.0,14.7,15.2,15.7
Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,112.0,17.2,17.2,17.2
