name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Philip Rivers,QB,LAC,0.0,0.0,2.0,310.0,0.0,0.0,1.0,0.0,0.0,20.4,20.4,20.4
Marcus Mariota,QB,TEN,0.0,0.0,3.0,227.0,0.0,0.0,3.0,0.0,22.0,23.28,23.28,23.28
Mason Rudolph,QB,PIT,0.0,0.0,2.0,229.0,0.0,0.0,3.0,0.0,-3.0,16.86,16.86,16.86
Jameis Winston,QB,TAM,0.0,1.0,4.0,385.0,0.0,0.0,1.0,0.0,-1.0,29.3,29.3,29.3
Matthew Stafford,QB,DET,1.0,0.0,3.0,291.0,0.0,0.0,2.0,0.0,18.0,23.44,23.44,23.44
Russell Wilson,QB,SEA,0.0,0.0,1.0,240.0,0.0,0.0,2.0,0.0,7.0,14.3,14.3,14.3
Carson Wentz,QB,PHI,0.0,0.0,3.0,160.0,0.0,0.0,6.0,0.0,13.0,19.7,19.7,19.7
Jaylen Samuels,RB,PIT,0.0,0.0,0.0,31.0,0.0,57.0,10.0,1.0,26.0,15.54,19.54,23.54
Derek Carr,QB,OAK,1.0,0.0,2.0,189.0,0.0,0.0,2.0,0.0,-1.0,13.46,13.46,13.46
Baker Mayfield,QB,CLE,0.0,1.0,1.0,342.0,0.0,0.0,3.0,0.0,1.0,15.78,15.78,15.78
Chase Daniel,QB,CHI,0.0,0.0,1.0,195.0,0.0,0.0,5.0,0.0,4.0,12.2,12.2,12.2
Joe Flacco,QB,DEN,0.0,1.0,3.0,303.0,0.0,0.0,1.0,0.0,-1.0,22.02,22.02,22.02
Gardner Minshew,QB,JAX,0.0,0.0,2.0,213.0,0.0,0.0,1.0,0.0,2.0,16.72,16.72,16.72
Lamar Jackson,QB,BAL,0.0,2.0,3.0,247.0,0.0,0.0,9.0,0.0,66.0,24.480000000000004,24.480000000000004,24.480000000000004
Tyrod Taylor,QB,LAC,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,-1.0,0.18000000000000002,0.18000000000000002,0.18000000000000002
Aaron Rodgers,QB,GNB,1.0,1.0,2.0,422.0,0.0,0.0,5.0,0.0,46.0,25.48,25.48,25.48
Kirk Cousins,QB,MIN,1.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,7.32,7.32,7.32
Kyle Allen,QB,CAR,3.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,3.28,3.28,3.28
Josh Rosen,QB,MIA,0.0,1.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,9.2,9.2,9.2
Matt Ryan,QB,ATL,1.0,0.0,0.0,397.0,0.0,0.0,2.0,0.0,18.0,15.68,15.68,15.68
Jacoby Brissett,QB,IND,0.0,1.0,3.0,265.0,0.0,0.0,5.0,0.0,19.0,22.5,22.5,22.5
Patrick Mahomes,QB,KAN,0.0,0.0,0.0,315.0,0.0,0.0,6.0,0.0,54.0,18.0,18.0,18.0
Jared Goff,QB,LAR,1.0,3.0,2.0,517.0,0.0,0.0,0.0,0.0,0.0,20.68,20.68,20.68
Teddy Bridgewater,QB,NOR,0.0,1.0,0.0,193.0,0.0,0.0,3.0,0.0,8.0,6.52,6.52,6.52
Daniel Jones,QB,NYG,0.0,2.0,1.0,225.0,0.0,0.0,5.0,0.0,33.0,12.3,12.3,12.3
Kyler Murray,QB,ARI,0.0,1.0,0.0,241.0,0.0,0.0,4.0,1.0,27.0,16.34,16.34,16.34
Deshaun Watson,QB,HOU,1.0,0.0,0.0,160.0,0.0,0.0,3.0,1.0,12.0,11.6,11.6,11.6
Dak Prescott,QB,DAL,0.0,1.0,0.0,223.0,0.0,0.0,1.0,0.0,7.0,7.619999999999999,7.619999999999999,7.619999999999999
Mitchell Trubisky,QB,CHI,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36
Andy Dalton,QB,CIN,1.0,1.0,0.0,171.0,0.0,0.0,3.0,0.0,8.0,3.64,3.64,3.64
Matt Barkley,QB,BUF,0.0,1.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,3.08,3.08,3.08
Tom Brady,QB,NWE,0.0,1.0,0.0,150.0,0.0,0.0,3.0,0.0,-3.0,3.7,3.7,3.7
Odell Beckham,WR,CLE,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,3.0,4.0
Dwayne Haskins,QB,WAS,0.0,3.0,0.0,107.0,0.0,0.0,2.0,0.0,23.0,0.5800000000000001,0.5800000000000001,0.5800000000000001
Josh Allen,QB,BUF,0.0,3.0,0.0,153.0,0.0,0.0,5.0,1.0,26.0,8.72,8.72,8.72
Case Keenum,QB,WAS,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,-0.52,-0.52,-0.52
DeAndre Hopkins,WR,HOU,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.1,4.6,7.1
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,20.0,29.0,0.0,225.0,24.5,25.5,26.5
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,18.0,20.0,3.0,165.0,36.3,37.8,39.3
Kerryon Johnson,RB,DET,1.0,0.0,0.0,0.0,0.0,32.0,26.0,0.0,125.0,13.7,14.7,15.7
Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,109.0,10.9,10.9,10.9
Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,41.0,22.0,0.0,104.0,14.5,16.5,18.5
Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,100.0,10.8,11.3,11.8
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,86.0,27.0,1.0,93.0,23.9,28.9,33.9
Jordan Howard,RB,PHI,0.0,0.0,0.0,0.0,1.0,28.0,15.0,2.0,87.0,29.5,31.0,32.5
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,29.0,17.0,0.0,79.0,10.8,11.8,12.8
