name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Jimmy Garoppolo,QB,SFO,0.0,0.0,4.0,317.0,0.0,0.0,3.0,0.0,2.0,28.88,28.88,28.88
Russell Wilson,QB,SEA,0.0,0.0,5.0,378.0,0.0,0.0,1.0,0.0,21.0,37.22,37.22,37.22
Kyler Murray,QB,ARI,0.0,0.0,2.0,241.0,0.0,0.0,5.0,0.0,34.0,21.04,21.04,21.04
Brandon Allen,QB,DEN,0.0,0.0,2.0,193.0,0.0,0.0,5.0,0.0,13.0,17.02,17.02,17.02
Deshaun Watson,QB,HOU,0.0,0.0,2.0,201.0,0.0,0.0,7.0,0.0,37.0,19.74,19.74,19.74
Ryan Fitzpatrick,QB,MIA,0.0,0.0,3.0,288.0,0.0,0.0,5.0,0.0,2.0,23.72,23.72,23.72
Derek Carr,QB,OAK,0.0,0.0,2.0,289.0,0.0,0.0,0.0,0.0,0.0,19.56,19.56,19.56
Jacoby Brissett,QB,IND,0.0,0.0,0.0,59.0,0.0,0.0,2.0,0.0,4.0,2.76,2.76,2.76
Josh Allen,QB,BUF,0.0,0.0,1.0,160.0,0.0,0.0,8.0,1.0,12.0,17.599999999999994,17.599999999999994,17.599999999999994
Matthew Stafford,QB,DET,1.0,1.0,3.0,406.0,0.0,0.0,3.0,0.0,6.0,24.84,24.84,24.84
Philip Rivers,QB,LAC,0.0,0.0,0.0,294.0,0.0,0.0,3.0,0.0,0.0,11.76,11.76,11.76
Lamar Jackson,QB,BAL,0.0,0.0,1.0,163.0,0.0,0.0,16.0,2.0,61.0,28.62,28.62,28.62
Brian Hoyer,QB,IND,1.0,1.0,3.0,168.0,0.0,0.0,1.0,0.0,6.0,15.32,15.32,15.32
Matt Moore,QB,KAN,0.0,0.0,1.0,275.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0
Jameis Winston,QB,TAM,1.0,0.0,2.0,335.0,0.0,0.0,2.0,0.0,8.0,20.2,20.2,20.2
Dak Prescott,QB,DAL,0.0,1.0,3.0,257.0,0.0,0.0,3.0,0.0,12.0,21.48,21.48,21.48
Kirk Cousins,QB,MIN,0.0,0.0,3.0,220.0,0.0,0.0,1.0,0.0,5.0,21.3,21.3,21.3
Carson Wentz,QB,PHI,0.0,0.0,1.0,239.0,0.0,0.0,4.0,0.0,15.0,15.06,15.06,15.06
Baker Mayfield,QB,CLE,0.0,0.0,1.0,273.0,0.0,0.0,3.0,0.0,22.0,17.12,17.12,17.12
Dwayne Haskins,QB,WAS,0.0,0.0,0.0,144.0,0.0,0.0,3.0,0.0,14.0,7.16,7.16,7.16
Aaron Rodgers,QB,GNB,0.0,0.0,1.0,161.0,0.0,0.0,1.0,0.0,5.0,10.94,10.94,10.94
Sam Darnold,QB,NYJ,0.0,1.0,1.0,260.0,0.0,0.0,2.0,0.0,1.0,12.5,12.5,12.5
Kyle Allen,QB,CAR,0.0,1.0,2.0,232.0,0.0,0.0,3.0,0.0,-4.0,14.880000000000004,14.880000000000004,14.880000000000004
Mason Rudolph,QB,PIT,0.0,1.0,1.0,191.0,0.0,0.0,3.0,0.0,5.0,10.14,10.14,10.14
Ryan Tannehill,QB,TEN,0.0,2.0,1.0,331.0,0.0,0.0,4.0,1.0,38.0,23.040000000000006,23.040000000000006,23.040000000000006
Tom Brady,QB,NWE,0.0,1.0,1.0,285.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,13.4
Daniel Jones,QB,NYG,2.0,1.0,1.0,210.0,0.0,0.0,6.0,0.0,54.0,11.8,11.8,11.8
Mitchell Trubisky,QB,CHI,0.0,0.0,0.0,125.0,0.0,0.0,2.0,0.0,15.0,6.5,6.5,6.5
Gardner Minshew,QB,JAX,2.0,2.0,0.0,309.0,0.0,0.0,4.0,0.0,34.0,7.76,7.76,7.76
Carlos Hyde,RB,HOU,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,160.0,14.0,14.0,14.0
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,1.0,20.0,24.0,2.0,146.0,34.6,36.1,37.6
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,139.0,13.9,13.9,13.9
Damien Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,125.0,18.8,19.8,20.8
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,120.0,24.0,24.0,24.0
Mark Ingram,RB,BAL,1.0,0.0,0.0,0.0,0.0,29.0,15.0,0.0,115.0,12.4,13.4,14.4
Kenyan Drake,RB,ARI,0.0,0.0,0.0,0.0,0.0,52.0,15.0,1.0,110.0,22.2,24.2,26.2
Adrian Peterson,RB,WAS,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,108.0,13.0,13.5,14.0
Chris Carson,RB,SEA,1.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,105.0,11.3,12.3,13.3
Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,0.0,45.0,20.0,1.0,95.0,20.0,21.5,23.0
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,92.0,15.2,15.2,15.2
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,89.0,8.9,8.9,8.9
Jordan Howard,RB,PHI,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,82.0,14.3,14.8,15.3
Melvin Gordon,RB,LAC,0.0,0.0,0.0,0.0,0.0,29.0,20.0,2.0,80.0,22.9,24.4,25.9
Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,78.0,9.2,10.2,11.2
Trey Edmunds,TE,PIT,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,73.0,7.3,7.3,7.3
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,45.0,21.0,0.0,71.0,11.6,13.6,15.6
Austin Ekeler,RB,LAC,0.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,70.0,9.3,11.3,13.3
Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,15.0,18.0,1.0,67.0,14.2,15.2,16.2
Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,55.0,17.0,0.0,66.0,12.1,16.1,20.1
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,65.0,9.1,11.1,13.1
Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,1.0,36.0,13.0,1.0,63.0,21.9,23.4,24.9
Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,42.0,7.300000000000002,8.8,10.3
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,32.0,11.0,0.0,40.0,7.2,9.7,12.2
David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,36.0,14.0,2.0,40.0,19.6,21.1,22.6
James White,RB,NWE,0.0,0.0,0.0,0.0,0.0,46.0,9.0,1.0,38.0,14.4,15.4,16.4
J.D. McKissic,RB,DET,0.0,0.0,0.0,0.0,1.0,40.0,4.0,0.0,32.0,13.2,14.7,16.2
Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,0.0,30.0,2.9,3.4,3.9
Ty Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,29.0,3.6,5.1,6.6
Mark Walton,RB,MIA,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,29.0,4.1,5.6,7.1
Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,67.0,14.0,0.0,28.0,9.5,12.5,15.5
Parris Campbell,WR,IND,0.0,0.0,0.0,0.0,0.0,53.0,3.0,0.0,27.0,8.0,10.5,13.0
Derek Carrier,TE,OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,2.7,2.7,2.7
Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,27.0,8.7,8.7,8.7
Tevin Coleman,RB,SFO,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,23.0,3.6,4.6,5.6
Tony Pollard,RB,DAL,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,21.0,3.0,3.5,4.0
Dion Lewis,RB,TEN,1.0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,20.0,3.3,5.8,8.3
Kalen Ballage,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,1.9,1.9,1.9
Rex Burkhead,RB,NWE,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,18.0,3.4000000000000004,3.9,4.4
Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,18.0,3.0,3.5,4.0
Paul Perkins,RB,DET,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1.6,1.6,1.6
Bilal Powell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1.6,1.6,1.6
Golden Tate,WR,NYG,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,16.0,5.800000000000002,8.8,11.8
Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,1.5,1.5,1.5
Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,15.0,1.4,1.9,2.4
