name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Patrick Mahomes,QB,KAN,1.0,0.0,4.0,443.0,0.0,0.0,1.0,0.0,-1.0,31.62,31.62,31.62
Jimmy Garoppolo,QB,SFO,0.0,1.0,3.0,296.0,0.0,0.0,4.0,0.0,8.0,22.64,22.64,22.64
Russell Wilson,QB,SEA,1.0,0.0,3.0,300.0,0.0,0.0,6.0,0.0,22.0,24.2,24.2,24.2
Tom Brady,QB,NWE,0.0,0.0,2.0,264.0,0.0,0.0,2.0,1.0,1.0,24.660000000000004,24.660000000000004,24.660000000000004
Dak Prescott,QB,DAL,0.0,1.0,3.0,269.0,0.0,0.0,5.0,0.0,69.0,27.66,27.66,27.66
Dante Pettis,WR,SFO,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64
Jared Goff,QB,LAR,1.0,0.0,1.0,283.0,0.0,0.0,4.0,1.0,-2.0,19.12,19.12,19.12
Lamar Jackson,QB,BAL,0.0,0.0,2.0,272.0,0.0,0.0,16.0,0.0,120.0,30.880000000000006,30.880000000000006,30.880000000000006
Case Keenum,QB,WAS,0.0,0.0,2.0,221.0,0.0,0.0,1.0,0.0,-1.0,16.74,16.74,16.74
Jameis Winston,QB,TAM,0.0,0.0,1.0,208.0,0.0,0.0,4.0,0.0,9.0,13.22,13.22,13.22
Aaron Rodgers,QB,GNB,1.0,0.0,2.0,209.0,0.0,0.0,1.0,0.0,0.0,14.36,14.36,14.36
Josh Allen,QB,BUF,0.0,0.0,1.0,253.0,0.0,0.0,7.0,1.0,21.0,22.22,22.22,22.22
Luke Falk,QB,NYJ,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,7.92,7.92,7.92
Gardner Minshew,QB,JAX,1.0,0.0,1.0,213.0,0.0,0.0,6.0,0.0,56.0,16.119999999999994,16.119999999999994,16.119999999999994
Jacoby Brissett,QB,IND,1.0,1.0,3.0,146.0,0.0,0.0,7.0,0.0,25.0,16.34,16.34,16.34
Marcus Mariota,QB,TEN,0.0,0.0,1.0,154.0,0.0,0.0,5.0,0.0,32.0,13.36,13.36,13.36
Mason Rudolph,QB,PIT,0.0,1.0,2.0,112.0,0.0,0.0,1.0,0.0,7.0,11.18,11.18,11.18
Matthew Stafford,QB,DET,0.0,2.0,2.0,245.0,0.0,0.0,4.0,0.0,13.0,15.1,15.1,15.1
Andy Dalton,QB,CIN,0.0,1.0,2.0,311.0,0.0,0.0,2.0,0.0,2.0,18.64,18.64,18.64
Kyler Murray,QB,ARI,0.0,0.0,0.0,349.0,0.0,0.0,3.0,0.0,4.0,14.36,14.36,14.36
Baker Mayfield,QB,CLE,0.0,1.0,1.0,325.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0
Joe Flacco,QB,DEN,0.0,1.0,1.0,292.0,0.0,0.0,0.0,0.0,0.0,13.68,13.68,13.68
Matt Ryan,QB,ATL,0.0,3.0,3.0,320.0,0.0,0.0,2.0,0.0,3.0,19.1,19.1,19.1
Philip Rivers,QB,LAC,0.0,1.0,0.0,293.0,0.0,0.0,1.0,0.0,12.0,10.92,10.92,10.92
Teddy Bridgewater,QB,NOR,0.0,0.0,0.0,165.0,0.0,0.0,2.0,0.0,5.0,7.1,7.1,7.1
Josh McCown,QB,PHI,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.96
Deshaun Watson,QB,HOU,0.0,0.0,0.0,159.0,0.0,0.0,4.0,1.0,5.0,12.86,12.86,12.86
Cam Newton,QB,CAR,1.0,0.0,0.0,333.0,0.0,0.0,2.0,0.0,0.0,11.32,11.32,11.32
Mitchell Trubisky,QB,CHI,0.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,8.0,5.6,5.6,5.6
Ben Roethlisberger,QB,PIT,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
Eli Manning,QB,NYG,0.0,2.0,1.0,250.0,0.0,0.0,1.0,0.0,2.0,10.2,10.2,10.2
Carson Wentz,QB,PHI,0.0,2.0,1.0,231.0,0.0,0.0,3.0,1.0,3.0,15.540000000000004,15.540000000000004,15.540000000000004
Derek Carr,QB,OAK,0.0,2.0,1.0,198.0,0.0,0.0,2.0,0.0,18.0,9.72,9.72,9.72
Trevor Siemian,QB,NYJ,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12
Kirk Cousins,QB,MIN,1.0,2.0,1.0,230.0,0.0,0.0,2.0,0.0,17.0,8.899999999999997,8.899999999999997,8.899999999999997
Drew Brees,QB,NOR,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.48,-0.48
Josh Rosen,QB,MIA,0.0,1.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,1.88,1.88,1.88
Ryan Fitzpatrick,QB,MIA,0.0,3.0,0.0,89.0,0.0,0.0,1.0,0.0,6.0,-1.84,-1.84,-1.84
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,37.0,20.0,1.0,154.0,25.1,26.6,28.1
Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,121.0,13.2,13.7,14.2
Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,34.0,23.0,1.0,116.0,21.0,23.0,25.0
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.0,111.0,18.0,19.0,20.0
Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,0.0,28.0,18.0,1.0,107.0,19.5,21.0,22.5
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,99.0,9.9,9.9,9.9
Carlos Hyde,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,90.0,9.0,9.0,9.0
Sony Michel,RB,NWE,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,83.0,12.3,12.3,12.3
Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,1.0,68.0,13.0,0.0,83.0,21.1,22.6,24.1
Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,7.0,23.0,1.0,82.0,14.9,15.4,15.9
Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,12.0,15.0,1.0,82.0,15.4,16.4,17.4
Jordan Wilkins,RB,IND,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,82.0,8.6,9.1,9.6
Le'Veon Bell,RB,NYJ,1.0,0.0,0.0,0.0,0.0,61.0,21.0,0.0,68.0,10.9,15.9,20.9
Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,15.0,19.0,1.0,68.0,14.3,15.3,16.3
Austin Ekeler,RB,LAC,1.0,0.0,0.0,0.0,0.0,67.0,17.0,1.0,66.0,17.3,20.3,23.3
Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,63.0,12.7,14.2,15.7
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,36.0,18.0,1.0,62.0,15.8,17.799999999999994,19.8
David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,6.0,18.0,1.0,62.0,12.8,13.3,13.8
Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,62.0,12.5,13.0,13.5
Chris Carson,RB,SEA,1.0,0.0,0.0,0.0,0.0,27.0,15.0,0.0,60.0,6.699999999999998,8.2,9.7
Justin Jackson,RB,LAC,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,59.0,6.4,6.9,7.4
Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,57.0,11.7,11.7,11.7
Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,48.0,11.0,0.0,54.0,10.2,12.7,15.2
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,51.0,6.3,7.3,8.3
Cordarrelle Patterson,WR,CHI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,5.0,5.0,5.0
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,47.0,8.7,10.7,12.7
Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,47.0,7.7,8.7,9.7
