name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Matt Ryan,QB,ATL,0.0,0.0,4.0,356.0,0.0,0.0,2.0,0.0,7.0,30.94,30.94,30.94
Kirk Cousins,QB,MIN,0.0,1.0,4.0,333.0,0.0,0.0,2.0,0.0,0.0,27.32,27.32,27.32
Kyler Murray,QB,ARI,0.0,0.0,3.0,340.0,0.0,0.0,11.0,0.0,32.0,28.8,28.8,28.8
Russell Wilson,QB,SEA,0.0,0.0,2.0,295.0,0.0,0.0,9.0,1.0,31.0,28.9,28.9,28.9
Sam Darnold,QB,NYJ,0.0,1.0,2.0,338.0,0.0,0.0,5.0,0.0,1.0,19.62,19.62,19.62
Ryan Fitzpatrick,QB,MIA,0.0,0.0,1.0,132.0,0.0,0.0,2.0,0.0,5.0,9.78,9.78,9.78
Kyle Allen,QB,CAR,0.0,0.0,2.0,227.0,0.0,0.0,3.0,0.0,3.0,17.38,17.38,17.38
Case Keenum,QB,WAS,0.0,0.0,2.0,166.0,0.0,0.0,4.0,0.0,10.0,15.64,15.64,15.64
Patrick Mahomes,QB,KAN,1.0,1.0,3.0,273.0,0.0,0.0,1.0,0.0,-1.0,18.82,18.82,18.82
Teddy Bridgewater,QB,NOR,0.0,0.0,1.0,240.0,0.0,0.0,3.0,0.0,0.0,13.6,13.6,13.6
Carson Wentz,QB,PHI,0.0,1.0,2.0,306.0,0.0,0.0,2.0,0.0,23.0,20.540000000000006,20.540000000000006,20.540000000000006
Aaron Rodgers,QB,GNB,0.0,1.0,2.0,283.0,0.0,0.0,3.0,0.0,10.0,18.32,18.32,18.32
Dak Prescott,QB,DAL,0.0,0.0,0.0,278.0,0.0,0.0,3.0,1.0,11.0,18.22,18.22,18.22
Tom Brady,QB,NWE,1.0,1.0,0.0,334.0,0.0,0.0,7.0,2.0,6.0,21.96,21.96,21.96
Devlin Hodges,QB,PIT,0.0,1.0,1.0,132.0,0.0,0.0,3.0,0.0,8.0,8.080000000000002,8.080000000000002,8.080000000000002
Lamar Jackson,QB,BAL,0.0,0.0,0.0,236.0,0.0,0.0,19.0,1.0,152.0,30.64,30.64,30.64
Matthew Stafford,QB,DET,0.0,0.0,0.0,265.0,0.0,0.0,3.0,0.0,9.0,11.5,11.5,11.5
Jimmy Garoppolo,QB,SFO,1.0,1.0,0.0,243.0,0.0,0.0,5.0,1.0,4.0,12.12,12.12,12.12
Ryan Tannehill,QB,TEN,0.0,1.0,0.0,144.0,0.0,0.0,1.0,0.0,6.0,4.3599999999999985,4.3599999999999985,4.3599999999999985
Philip Rivers,QB,LAC,1.0,2.0,2.0,320.0,0.0,0.0,1.0,0.0,0.0,14.8,14.8,14.8
Deshaun Watson,QB,HOU,0.0,2.0,1.0,280.0,0.0,0.0,10.0,2.0,42.0,27.4,27.4,27.4
Joe Flacco,QB,DEN,0.0,1.0,0.0,177.0,0.0,0.0,4.0,0.0,-1.0,4.98,4.98,4.98
Andy Dalton,QB,CIN,0.0,1.0,0.0,235.0,0.0,0.0,1.0,1.0,2.0,13.6,13.6,13.6
Jared Goff,QB,LAR,1.0,0.0,0.0,78.0,0.0,0.0,1.0,0.0,0.0,1.12,1.12,1.12
Baker Mayfield,QB,CLE,0.0,3.0,1.0,249.0,0.0,0.0,4.0,1.0,35.0,17.46,17.46,17.46
Gardner Minshew,QB,JAX,0.0,1.0,0.0,163.0,0.0,0.0,2.0,0.0,1.0,4.619999999999999,4.619999999999999,4.619999999999999
Jameis Winston,QB,TAM,1.0,5.0,1.0,400.0,0.0,0.0,1.0,0.0,1.0,8.100000000000001,8.100000000000001,8.100000000000001
Daniel Jones,QB,NYG,0.0,3.0,1.0,161.0,0.0,0.0,2.0,0.0,8.0,5.240000000000002,5.240000000000002,5.240000000000002
Josh Rosen,QB,MIA,0.0,2.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001
Marcus Mariota,QB,TEN,0.0,2.0,0.0,63.0,0.0,0.0,2.0,0.0,4.0,-1.08,-1.08,-1.08
Jake Elliott,ERROR CHECK ME,PHI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0
Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,35.0,24.0,1.0,124.0,21.9,23.9,25.9
Nick Chubb,RB,CLE,1.0,0.0,0.0,0.0,0.0,17.0,20.0,2.0,122.0,23.9,26.4,28.9
Adrian Peterson,RB,WAS,0.0,0.0,0.0,0.0,0.0,18.0,23.0,0.0,118.0,13.6,14.6,15.6
Carlos Hyde,RB,HOU,1.0,0.0,0.0,0.0,0.0,14.0,26.0,1.0,116.0,17.0,17.5,18.0
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,48.0,28.0,1.0,105.0,21.3,23.8,26.3
Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,1.0,32.0,14.0,0.0,104.0,19.6,21.6,23.6
Devonta Freeman,RB,ATL,0.0,0.0,0.0,0.0,2.0,30.0,19.0,0.0,88.0,23.8,25.3,26.8
Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,27.0,22.0,0.0,86.0,11.3,12.3,13.3
Benny Snell,RB,PIT,0.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,75.0,8.9,9.4,9.9
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,46.0,20.0,0.0,72.0,11.8,14.8,17.8
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,5.0,15.0,1.0,70.0,13.5,14.5,15.5
Alexander Mattison,RB,MIN,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,63.0,4.3,4.3,4.3
Mark Ingram,RB,BAL,0.0,0.0,0.0,0.0,0.0,22.0,13.0,1.0,52.0,13.4,14.4,15.4
Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,50.0,11.3,11.8,12.3
Jordan Howard,RB,PHI,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,49.0,4.9,4.9,4.9
Aaron Jones,RB,GNB,1.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,47.0,4.0,6.0,8.0
Tevin Coleman,RB,SFO,0.0,0.0,0.0,0.0,0.0,16.0,18.0,1.0,45.0,12.1,13.1,14.1
LeSean McCoy,RB,KAN,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,44.0,4.4,5.4,6.4
Latavius Murray,RB,NOR,0.0,0.0,0.0,0.0,0.0,35.0,8.0,0.0,44.0,7.9,9.4,10.9
James Conner,RB,PIT,0.0,0.0,0.0,0.0,1.0,78.0,16.0,1.0,41.0,23.9,27.4,30.9
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,13.0,16.0,1.0,41.0,11.4,12.4,13.4
Malcolm Brown,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,40.0,4.0,4.0,4.0
Kenyan Drake,RB,MIA,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,40.0,7.0,10.0,13.0
Darrell Henderson,RB,LAR,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,39.0,4.8,5.3,5.8
Jon Hilliman,RB,NYG,1.0,0.0,0.0,0.0,0.0,-3.0,11.0,0.0,38.0,1.5,2.5,3.5
Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,27.0,13.0,0.0,36.0,6.300000000000002,8.3,10.3
Chase Edmonds,RB,ARI,0.0,0.0,0.0,0.0,1.0,33.0,5.0,0.0,34.0,12.7,13.7,14.7
Gus Edwards,RB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,34.0,3.4,3.4,3.4
Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,42.0,11.0,0.0,34.0,7.6,10.1,12.6
David Johnson,RB,ARI,0.0,0.0,0.0,0.0,1.0,68.0,12.0,1.0,34.0,22.2,25.2,28.2
Duke Johnson,RB,HOU,0.0,0.0,0.0,0.0,1.0,20.0,5.0,0.0,34.0,11.4,12.4,13.4
Kerryon Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,27.0,13.0,1.0,34.0,12.1,13.1,14.1
Mark Walton,RB,MIA,0.0,0.0,0.0,0.0,0.0,43.0,6.0,0.0,32.0,7.5,10.0,12.5
Justice Hill,RB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,3.1,3.1,3.1
Alvin Kamara,RB,NOR,0.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0,31.0,6.6,10.1,13.6
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,1.0,26.0,22.0,1.0,31.0,17.7,19.7,21.7
Boston Scott,RB,PHI,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,3.0,3.0,3.0
Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,28.0,2.8,2.8,2.8
Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,28.0,3.3,3.8,4.3
Brandon Bolden,RB,NWE,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,23.0,10.5,11.5,12.5
Stefon Diggs,WR,MIN,0.0,0.0,0.0,0.0,3.0,167.0,2.0,0.0,18.0,36.5,40.0,43.5
