name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Ryan Tannehill,QB,TEN,1.0,0.0,2.0,259.0,0.0,0.0,7.0,2.0,40.0,32.36,32.36,32.36
Jimmy Garoppolo,QB,SFO,0.0,0.0,2.0,253.0,0.0,0.0,2.0,0.0,1.0,18.22,18.22,18.22
Lamar Jackson,QB,BAL,0.0,0.0,5.0,169.0,0.0,0.0,8.0,0.0,95.0,36.26,36.26,36.26
Sam Darnold,QB,NYJ,0.0,0.0,2.0,315.0,0.0,0.0,4.0,1.0,16.0,28.200000000000006,28.200000000000006,28.200000000000006
Baker Mayfield,QB,CLE,0.0,1.0,3.0,327.0,0.0,0.0,2.0,0.0,5.0,23.58,23.58,23.58
Devlin Hodges,QB,PIT,0.0,0.0,1.0,118.0,0.0,0.0,3.0,0.0,1.0,8.819999999999997,8.819999999999997,8.819999999999997
Drew Brees,QB,NOR,0.0,1.0,3.0,311.0,0.0,0.0,0.0,0.0,0.0,22.44,22.44,22.44
Kyle Allen,QB,CAR,0.0,0.0,3.0,256.0,0.0,0.0,1.0,0.0,9.0,23.14,23.14,23.14
Matt Schaub,QB,ATL,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,6.2
Jameis Winston,QB,TAM,0.0,2.0,3.0,313.0,0.0,0.0,8.0,0.0,38.0,24.32,24.32,24.32
Deshaun Watson,QB,HOU,0.0,1.0,2.0,298.0,0.0,0.0,3.0,0.0,10.0,18.92,18.92,18.92
Josh Allen,QB,BUF,0.0,1.0,2.0,185.0,0.0,0.0,9.0,0.0,56.0,19.0,19.0,19.0
Daniel Jones,QB,NYG,1.0,0.0,2.0,150.0,0.0,0.0,2.0,0.0,27.0,14.7,14.7,14.7
Ryan Finley,QB,CIN,1.0,0.0,1.0,192.0,0.0,0.0,2.0,0.0,8.0,10.48,10.48,10.48
