name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Deshaun Watson,QB,HOU,0.0,0.0,5.0,426.0,0.0,0.0,4.0,0.0,47.0,41.74,41.74,41.74
Russell Wilson,QB,SEA,0.0,0.0,4.0,268.0,0.0,0.0,8.0,0.0,32.0,29.92,29.92,29.92
Kirk Cousins,QB,MIN,0.0,0.0,2.0,306.0,0.0,0.0,3.0,0.0,3.0,20.540000000000006,20.540000000000006,20.540000000000006
Teddy Bridgewater,QB,NOR,0.0,1.0,4.0,314.0,0.0,0.0,5.0,0.0,7.0,27.26,27.26,27.26
Odell Beckham,WR,CLE,1.0,0.0,0.0,20.0,0.0,27.0,2.0,0.0,15.0,3.0,4.0,5.0
Taysom Hill,QB,NOR,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,14.0,2.12,2.12,2.12
Alvin Kamara,RB,NOR,0.0,0.0,0.0,13.0,0.0,42.0,16.0,0.0,62.0,10.920000000000002,13.920000000000002,16.92
Jimmy Garoppolo,QB,SFO,0.0,0.0,2.0,181.0,0.0,0.0,4.0,0.0,-3.0,14.94,14.94,14.94
Andy Dalton,QB,CIN,0.0,0.0,2.0,262.0,0.0,0.0,2.0,0.0,5.0,18.98,18.98,18.98
Tom Brady,QB,NWE,0.0,1.0,3.0,348.0,0.0,0.0,0.0,0.0,0.0,23.92,23.92,23.92
Jameis Winston,QB,TAM,0.0,0.0,2.0,204.0,0.0,0.0,3.0,0.0,13.0,17.46,17.46,17.46
Matt Ryan,QB,ATL,0.0,1.0,3.0,330.0,0.0,0.0,3.0,1.0,7.0,29.9,29.9,29.9
Gardner Minshew,QB,JAX,3.0,0.0,2.0,374.0,0.0,0.0,7.0,0.0,42.0,21.16,21.16,21.16
Mason Rudolph,QB,PIT,0.0,0.0,1.0,131.0,0.0,0.0,0.0,0.0,0.0,9.24,9.24,9.24
Josh Allen,QB,BUF,0.0,1.0,2.0,219.0,0.0,0.0,10.0,0.0,27.0,17.459999999999994,17.459999999999994,17.459999999999994
Devlin Hodges,QB,PIT,0.0,0.0,0.0,68.0,0.0,0.0,2.0,0.0,20.0,4.7200000000000015,4.7200000000000015,4.7200000000000015
Derek Carr,QB,OAK,1.0,0.0,0.0,229.0,0.0,0.0,3.0,0.0,8.0,7.960000000000001,7.960000000000001,7.960000000000001
Joe Flacco,QB,DEN,1.0,1.0,1.0,182.0,0.0,0.0,3.0,0.0,7.0,7.98,7.98,7.98
Patrick Mahomes,QB,KAN,0.0,0.0,1.0,321.0,0.0,0.0,3.0,0.0,17.0,18.54,18.54,18.54
Chase Daniel,QB,CHI,0.0,2.0,2.0,231.0,0.0,0.0,1.0,0.0,2.0,13.44,13.44,13.44
Carson Wentz,QB,PHI,0.0,0.0,1.0,189.0,0.0,0.0,2.0,0.0,5.0,12.06,12.06,12.06
Kyler Murray,QB,ARI,0.0,0.0,0.0,253.0,0.0,0.0,10.0,1.0,93.0,25.42,25.42,25.42
Marcus Mariota,QB,TEN,0.0,0.0,0.0,183.0,0.0,0.0,5.0,0.0,13.0,8.620000000000001,8.620000000000001,8.620000000000001
Kyle Allen,QB,CAR,0.0,0.0,1.0,181.0,0.0,0.0,1.0,0.0,4.0,11.64,11.64,11.64
Aaron Rodgers,QB,GNB,0.0,0.0,0.0,238.0,0.0,0.0,4.0,0.0,-1.0,9.42,9.42,9.42
Dak Prescott,QB,DAL,0.0,3.0,2.0,463.0,0.0,0.0,4.0,0.0,27.0,23.22,23.22,23.22
Jared Goff,QB,LAR,0.0,1.0,1.0,395.0,0.0,0.0,1.0,0.0,1.0,17.900000000000006,17.900000000000006,17.900000000000006
Daniel Jones,QB,NYG,0.0,1.0,1.0,182.0,0.0,0.0,3.0,0.0,12.0,10.48,10.48,10.48
Jacoby Brissett,QB,IND,0.0,1.0,0.0,151.0,0.0,0.0,6.0,1.0,9.0,10.94,10.94,10.94
Colt McCoy,QB,WAS,0.0,1.0,0.0,122.0,0.0,0.0,2.0,0.0,14.0,4.2799999999999985,4.2799999999999985,4.2799999999999985
Philip Rivers,QB,LAC,0.0,2.0,0.0,211.0,0.0,0.0,1.0,0.0,-3.0,4.139999999999999,4.139999999999999,4.139999999999999
Lamar Jackson,QB,BAL,0.0,3.0,1.0,161.0,0.0,0.0,14.0,0.0,70.0,11.44,11.44,11.44
Garrett Gilbert,QB,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,1.0,61.0,19.0,2.0,176.0,41.7,44.7,47.7
