name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Lamar Jackson,QB,BAL,0.0,0.0,3.0,223.0,0.0,0.0,7.0,1.0,65.0,33.42,33.42,33.42
Ryan Tannehill,QB,TEN,1.0,0.0,2.0,181.0,0.0,0.0,3.0,0.0,37.0,16.94,16.94,16.94
Mitchell Trubisky,QB,CHI,0.0,0.0,3.0,173.0,0.0,0.0,3.0,0.0,8.0,19.72,19.72,19.72
Daniel Jones,QB,NYG,1.0,0.0,4.0,308.0,0.0,0.0,3.0,0.0,20.0,28.32,28.32,28.32
Patrick Mahomes,QB,KAN,0.0,0.0,3.0,446.0,0.0,0.0,0.0,0.0,0.0,29.84,29.84,29.84
Taysom Hill,QB,NOR,0.0,0.0,0.0,17.0,0.0,3.0,1.0,0.0,11.0,2.08,2.58,3.08
Andy Lee,ERROR CHECK ME,ARI,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,1.04
Kirk Cousins,QB,MIN,0.0,0.0,2.0,220.0,0.0,0.0,1.0,0.0,5.0,17.3,17.3,17.3
Baker Mayfield,QB,CLE,0.0,0.0,2.0,238.0,0.0,0.0,2.0,0.0,1.0,17.62,17.62,17.62
Dak Prescott,QB,DAL,0.0,1.0,3.0,397.0,0.0,0.0,0.0,0.0,0.0,25.880000000000006,25.880000000000006,25.880000000000006
Derek Carr,QB,OAK,0.0,0.0,1.0,218.0,0.0,0.0,1.0,0.0,4.0,13.12,13.12,13.12
Sam Darnold,QB,NYJ,0.0,0.0,1.0,230.0,0.0,0.0,3.0,1.0,25.0,21.7,21.7,21.7
Kyler Murray,QB,ARI,0.0,1.0,3.0,324.0,0.0,0.0,3.0,0.0,38.0,26.76,26.76,26.76
Drew Brees,QB,NOR,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,11.48,11.48,11.48
Russell Wilson,QB,SEA,0.0,1.0,1.0,232.0,0.0,0.0,6.0,0.0,53.0,16.58,16.58,16.58
Mason Rudolph,QB,PIT,0.0,0.0,1.0,242.0,0.0,0.0,2.0,0.0,-1.0,13.58,13.58,13.58
Aaron Rodgers,QB,GNB,0.0,0.0,0.0,233.0,0.0,0.0,1.0,0.0,7.0,10.02,10.02,10.02
Kyle Allen,QB,CAR,1.0,1.0,1.0,307.0,0.0,0.0,3.0,0.0,12.0,13.48,13.48,13.48
Matt Ryan,QB,ATL,0.0,1.0,2.0,182.0,0.0,0.0,2.0,0.0,13.0,14.580000000000002,14.580000000000002,14.580000000000002
Jameis Winston,QB,TAM,0.0,2.0,1.0,358.0,0.0,0.0,3.0,0.0,40.0,18.32,18.32,18.32
Josh Allen,QB,BUF,0.0,0.0,0.0,266.0,0.0,0.0,6.0,2.0,28.0,25.44,25.44,25.44
Jeff Driskel,QB,DET,0.0,1.0,1.0,269.0,0.0,6.0,5.0,0.0,37.0,17.060000000000002,17.560000000000002,18.06
Ryan Finley,QB,CIN,1.0,1.0,1.0,167.0,0.0,0.0,5.0,0.0,22.0,8.879999999999997,8.879999999999997,8.879999999999997
Jimmy Garoppolo,QB,SFO,2.0,1.0,1.0,248.0,0.0,0.0,2.0,0.0,1.0,8.02,8.02,8.02
Ryan Fitzpatrick,QB,MIA,0.0,1.0,0.0,169.0,0.0,0.0,4.0,1.0,23.0,13.06,13.06,13.06
Philip Rivers,QB,LAC,0.0,3.0,2.0,207.0,0.0,0.0,0.0,0.0,0.0,10.28,10.28,10.28
Jared Goff,QB,LAR,1.0,2.0,0.0,243.0,0.0,0.0,1.0,0.0,0.0,3.7200000000000006,3.7200000000000006,3.7200000000000006
Randall Cobb,WR,DAL,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,16.6,19.6,22.6
Dustin Colquitt,ERROR CHECK ME,KAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,QB,IND,0.0,3.0,1.0,204.0,0.0,0.0,2.0,0.0,0.0,6.16,6.16,6.16
Robert Griffin,QB,BAL,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.2,-1.2
Johnny Hekker,ERROR CHECK ME,LAR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0
Derrick Henry,RB,TEN,0.0,0.0,0.0,0.0,0.0,3.0,23.0,2.0,188.0,31.1,32.1,33.1
Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,116.0,12.1,13.1,14.1
Joe Mixon,RB,CIN,0.0,0.0,0.0,0.0,0.0,37.0,30.0,0.0,114.0,15.1,16.1,17.1
Melvin Gordon,RB,LAC,0.0,0.0,0.0,0.0,0.0,25.0,22.0,1.0,108.0,19.3,19.8,20.3
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,33.0,20.0,1.0,108.0,20.1,23.1,26.1
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,86.0,26.0,1.0,97.0,24.3,27.8,31.3
Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,93.0,27.3,27.3,27.3
Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,12.0,25.0,1.0,89.0,16.1,17.6,19.1
Damien Williams,RB,KAN,1.0,0.0,0.0,0.0,0.0,32.0,19.0,0.0,77.0,8.9,11.4,13.9
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,8.0,19.0,0.0,74.0,8.200000000000001,8.700000000000001,9.2
Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,73.0,7.3,7.3,7.3
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,30.0,16.0,1.0,71.0,16.1,17.6,19.1
Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,63.0,6.3,6.3,6.3
