name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Russell Wilson,QB,SEA,0.0,0.0,2.0,182.0,0.0,0.0,4.0,0.0,4.0,15.68,15.68,15.68
Matthew Stafford,QB,DET,0.0,1.0,3.0,342.0,0.0,0.0,2.0,0.0,-3.0,23.38,23.38,23.38
Aaron Rodgers,QB,GNB,0.0,0.0,3.0,305.0,0.0,0.0,6.0,0.0,29.0,27.1,27.1,27.1
Derek Carr,QB,OAK,0.0,0.0,3.0,285.0,0.0,0.0,0.0,0.0,0.0,23.4,23.4,23.4
Daniel Jones,QB,NYG,1.0,0.0,4.0,322.0,0.0,0.0,4.0,0.0,13.0,28.180000000000003,28.180000000000003,28.180000000000003
Gardner Minshew,QB,JAX,1.0,0.0,3.0,279.0,0.0,0.0,8.0,0.0,28.0,23.96,23.96,23.96
Jared Goff,QB,LAR,0.0,0.0,2.0,372.0,0.0,0.0,0.0,0.0,0.0,22.880000000000006,22.880000000000006,22.880000000000006
Drew Brees,QB,NOR,0.0,1.0,3.0,373.0,0.0,0.0,0.0,0.0,0.0,24.92,24.92,24.92
Deshaun Watson,QB,HOU,0.0,0.0,3.0,279.0,0.0,0.0,10.0,0.0,46.0,27.76,27.76,27.76
Kirk Cousins,QB,MIN,0.0,0.0,0.0,285.0,0.0,0.0,2.0,0.0,2.0,11.6,11.6,11.6
Jimmy Garoppolo,QB,SFO,0.0,1.0,2.0,175.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
Ryan Tannehill,QB,TEN,0.0,0.0,3.0,193.0,0.0,0.0,4.0,0.0,-3.0,19.42,19.42,19.42
Matt Moore,QB,KAN,0.0,0.0,2.0,267.0,0.0,0.0,1.0,0.0,3.0,18.98,18.98,18.98
Carson Wentz,QB,PHI,0.0,0.0,1.0,172.0,0.0,0.0,8.0,0.0,35.0,14.38,14.38,14.38
Matt Schaub,QB,ATL,1.0,1.0,1.0,460.0,0.0,0.0,0.0,0.0,0.0,18.4,18.4,18.4
Case Keenum,QB,WAS,1.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,3.2
Tom Brady,QB,NWE,0.0,0.0,2.0,259.0,0.0,0.0,0.0,0.0,0.0,18.36,18.36,18.36
Andy Dalton,QB,CIN,0.0,0.0,1.0,329.0,0.0,-4.0,1.0,0.0,4.0,17.16,17.66,18.16
Jacoby Brissett,QB,IND,1.0,0.0,0.0,202.0,0.0,0.0,6.0,0.0,34.0,9.48,9.48,9.48
Mason Rudolph,QB,PIT,0.0,1.0,2.0,251.0,0.0,0.0,0.0,0.0,0.0,16.04,16.04,16.04
Philip Rivers,QB,LAC,0.0,1.0,1.0,201.0,0.0,0.0,0.0,0.0,0.0,10.04,10.04,10.04
Josh Allen,QB,BUF,1.0,0.0,2.0,169.0,0.0,0.0,8.0,0.0,45.0,17.259999999999998,17.259999999999998,17.259999999999998
Baker Mayfield,QB,CLE,0.0,1.0,1.0,194.0,0.0,0.0,1.0,0.0,18.0,11.56,11.56,11.56
Kyler Murray,QB,ARI,0.0,0.0,0.0,220.0,0.0,0.0,2.0,0.0,13.0,10.1,10.1,10.1
Joe Flacco,QB,DEN,0.0,0.0,0.0,174.0,0.0,0.0,1.0,0.0,9.0,7.86,7.86,7.86
Mitchell Trubisky,QB,CHI,1.0,1.0,0.0,253.0,0.0,0.0,4.0,0.0,10.0,7.119999999999999,7.119999999999999,7.119999999999999
Sam Darnold,QB,NYJ,0.0,3.0,2.0,218.0,0.0,0.0,1.0,0.0,-1.0,10.619999999999996,10.619999999999996,10.619999999999996
Ryan Fitzpatrick,QB,MIA,1.0,2.0,2.0,190.0,0.0,0.0,5.0,0.0,17.0,11.3,11.3,11.3
Jameis Winston,QB,TAM,2.0,2.0,2.0,301.0,0.0,0.0,8.0,0.0,53.0,17.34,17.34,17.34
Dwayne Haskins,QB,WAS,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,-0.6799999999999999,-0.6799999999999999,-0.6799999999999999
Brett Hundley,QB,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen,QB,CAR,0.0,3.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.3200000000000003,0.3200000000000003,0.3200000000000003
James Conner,RB,PIT,0.0,0.0,0.0,0.0,0.0,5.0,23.0,1.0,145.0,21.0,22.5,24.0
David Montgomery,RB,CHI,0.0,0.0,0.0,0.0,0.0,12.0,27.0,1.0,135.0,20.7,22.7,24.7
Nick Chubb,RB,CLE,2.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,131.0,9.8,10.3,10.8
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,0.0,0.0,38.0,14.0,1.0,117.0,21.5,23.5,25.5
Tevin Coleman,RB,SFO,0.0,0.0,0.0,0.0,1.0,13.0,11.0,3.0,105.0,35.8,36.8,37.8
Latavius Murray,RB,NOR,0.0,0.0,0.0,0.0,1.0,55.0,21.0,1.0,102.0,27.7,32.2,36.7
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,73.0,23.0,1.0,98.0,23.1,25.6,28.1
Jordan Howard,RB,PHI,0.0,0.0,0.0,0.0,0.0,15.0,23.0,1.0,96.0,17.1,17.6,18.1
Chris Carson,RB,SEA,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,90.0,15.0,15.0,15.0
Carlos Hyde,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,83.0,8.3,8.3,8.3
Leonard Fournette,RB,JAX,0.0,0.0,0.0,0.0,0.0,60.0,19.0,0.0,76.0,13.6,17.1,20.6
Marlon Mack,RB,IND,0.0,0.0,0.0,0.0,0.0,14.0,19.0,1.0,76.0,15.0,15.5,16.0
Adrian Peterson,RB,WAS,0.0,0.0,0.0,0.0,0.0,27.0,14.0,0.0,76.0,10.3,11.3,12.3
Derrick Henry,RB,TEN,1.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,75.0,6.300000000000002,6.800000000000002,7.300000000000002
Sony Michel,RB,NWE,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,74.0,7.4,7.4,7.4
Miles Sanders,RB,PHI,0.0,0.0,0.0,0.0,0.0,44.0,3.0,1.0,74.0,17.8,19.3,20.8
Aaron Jones,RB,GNB,0.0,0.0,0.0,0.0,2.0,159.0,13.0,0.0,67.0,34.6,38.1,41.6
Josh Jacobs,RB,OAK,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,66.0,8.1,9.1,10.1
Joe Mixon,RB,CIN,0.0,0.0,0.0,0.0,1.0,11.0,17.0,0.0,66.0,13.7,15.7,17.7
Saquon Barkley,RB,NYG,0.0,0.0,0.0,0.0,1.0,79.0,19.0,0.0,64.0,20.3,24.3,28.3
Alexander Mattison,RB,MIN,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,61.0,6.4,7.399999999999999,8.399999999999999
Raheem Mostert,RB,SFO,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,60.0,12.0,12.0,12.0
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,59.0,7.6,10.1,12.6
Rashaad Penny,RB,SEA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,55.0,5.5,5.5,5.5
Darrell Henderson,RB,LAR,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,49.0,6.9,7.9,8.9
Todd Gurley,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,44.0,10.4,10.4,10.4
Royce Freeman,RB,DEN,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,40.0,10.5,11.0,11.5
LeSean McCoy,RB,KAN,1.0,0.0,0.0,0.0,0.0,23.0,9.0,0.0,40.0,4.3,6.3,8.3
Devonta Freeman,RB,ATL,1.0,0.0,0.0,0.0,0.0,63.0,13.0,0.0,39.0,8.2,12.2,16.2
Dwayne Washington,RB,NOR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,3.8,3.8,3.8
Matt Breida,RB,SFO,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,35.0,5.0,5.5,6.0
Ronald Jones,RB,TAM,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,35.0,5.2,5.7,6.2
Mark Walton,RB,MIA,1.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,35.0,3.4000000000000004,4.9,6.4
Tra Carson,RB,DET,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,34.0,3.4,3.4,3.4
Frank Gore,RB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,34.0,3.4,3.4,3.4
Giovani Bernard,RB,CIN,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,31.0,4.5,5.5,6.5
Melvin Gordon,RB,LAC,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,31.0,9.4,10.4,11.4
Damien Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,30.0,9.0,9.0,9.0
Brian Hill,RB,ATL,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,29.0,8.9,8.9,8.9
Deebo Samuel,WR,SFO,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,29.0,10.8,12.3,13.8
Ty Johnson,RB,DET,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,25.0,3.8,4.3,4.8
Le'Veon Bell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,23.0,3.5,5.0,6.5
DeAndre Washington,RB,OAK,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,23.0,2.7,3.2,3.7
Jamaal Williams,RB,GNB,0.0,0.0,0.0,0.0,1.0,14.0,7.0,1.0,22.0,15.6,17.1,18.6
Peyton Barber,RB,TAM,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,20.0,2.8,3.3,3.8
Christian Kirk,WR,ARI,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,19.0,9.8,13.8,17.8
Devin Singletary,RB,BUF,0.0,0.0,0.0,0.0,1.0,30.0,3.0,0.0,19.0,10.9,12.9,14.9
Vyncint Smith,WR,NYJ,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,13.0,2.3,3.3,4.3
Benny Snell,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,1.3,1.3,1.3
Nyheim Hines,RB,IND,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,12.0,4.6,6.1,7.6
Bilal Powell,RB,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,1.1,1.1,1.1
Dontrell Hilliard,RB,CLE,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,10.0,3.4,5.4,7.4
Darrel Williams,RB,KAN,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,1.0
Tarik Cohen,RB,CHI,0.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,9.0,4.6000000000000005,6.1000000000000005,7.6
Jordan Scarlett,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.9,0.9,0.9
Wendell Smallwood,RB,WAS,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,9.0,2.0,2.5,3.0
Kalen Ballage,RB,MIA,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,8.0,1.9,2.4000000000000004,2.9000000000000004
Chase Edmonds,RB,ARI,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,8.0,1.3,2.3,3.3
Zach Line,RB,NOR,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,8.0,1.9,2.4000000000000004,2.9000000000000004
Nelson Agholor,WR,PHI,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,1.4,3.4,5.4
Ryquell Armstead,RB,JAX,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.7,0.7,0.7
Boston Scott,RB,PHI,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,4.6,4.6,4.6
Jeff Wilson,RB,SFO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.6,0.6,0.6
Robert Woods,WR,LAR,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,6.0,4.2,5.2,6.2
Tyreek Hill,WR,KAN,0.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,5.0,8.1,11.1,14.1
Cordarrelle Patterson,WR,CHI,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.6,1.6,2.6
Diontae Spencer,WR,DEN,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,5.0,2.3,3.3,4.3
Jordan Wilkins,RB,IND,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.5,0.5,0.5
Reggie Bonnafon,RB,CAR,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.7,1.2,1.7
Rex Burkhead,RB,NWE,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,4.0,1.3,1.8,2.3
Paul Perkins,RB,DET,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.4,0.4,0.4
James White,RB,NWE,0.0,0.0,0.0,0.0,0.0,75.0,2.0,0.0,4.0,7.9,9.9,11.9
Tyler Boyd,WR,CIN,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,3.0,6.8,9.8,12.8
Mike Davis,RB,CHI,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.8,1.3,1.8
Austin Ekeler,RB,LAC,0.0,0.0,0.0,0.0,1.0,19.0,3.0,0.0,3.0,8.2,9.2,10.2
Elijhaa Penny,RB,NYG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.3,0.3,0.3
Jalen Richard,RB,OAK,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,3.0,2.7,3.7,4.699999999999998
Alec Ingold,RB,OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2,0.2,0.2
David Moore,WR,SEA,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,2.5,3.0,3.5
Derek Watt,RB,LAC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2,0.2,0.2
Kenjon Barner,RB,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,0.1
Duke Johnson,RB,HOU,0.0,0.0,0.0,0.0,1.0,33.0,3.0,0.0,1.0,9.4,11.4,13.4
DJ Chark,WR,JAX,0.0,0.0,0.0,0.0,1.0,79.0,1.0,0.0,0.0,13.9,16.9,19.9
